.id	ID	SEX	GER	LIN	MADRE	PADRE	AGE	P49	line	selection	IS_PM	IS_NSL	IS_PNS	PM_ZS	PM_ZI	PM_MT	NSL_NA	NSL_ZS	NSL_ZI	NA_BR	NA_PNS	BR_PT	BR_APET	PT_APET	PT_BA	PT_EAM	PT_ZYGO	PT_TSP	ZS_ZI	ZI_MT	ZI_ZYGO	ZI_TSP	MT_PNS	PNS_APET	APET_BA	APET_TS	BA_EAM	EAM_ZYGO	ZYGO_TSP	LD_AS	BR_LD	OPI_LD	PT_AS	JP_AS	BA_OPI
upwards.h'	270244	F	47	hp	260782	260995	160	38.2	h'	upwards	5.18634378475	2.87266307505	12.54684795765	8.40842172005	9.3037723395	7.0290525487	9.59196150735	13.31335785935	15.0813596264	6.94023414115	8.262080977	3.89788698285	7.8443410755	8.4998737292	11.12676989875	8.3855637261	6.04091446215	2.9531972186	2.7056482546	4.51024562045	2.62469673125	4.03537266735	1.83482801145	4.81019159375	3.89276852765	3.98002989685	5.7030823909	4.6612995275	3.85313005705	6.58559762515	7.2785379455	3.86136390185	7.03505781785	4.7520404177	4.02118671815
upwards.h'	270246	F	47	hp	260782	260995	111	35	h'	upwards	4.50811673735	3.0255688051	12.50935131825	8.7259680152	9.692229553	7.4321922664	8.6798687784	13.2263195888	14.9674665411	7.87088685435	8.43457883095	3.89779830455	7.8959774963	8.1785155966	10.6453617178	8.007092882	5.81059883065	2.87718466655	2.5537423419	4.51227761315	2.42213086435	3.82055787825	1.9319351606	4.384368054	3.9317023367	3.9003270777	5.68485732705	4.8025699914	3.6195592297	6.65560511105	7.1949209723	4.14489893635	6.95149307745	4.48043657345	4.13340110825
upwards.h'	270248	F	47	hp	260782	260995	111	35.7	h'	upwards	4.8344376988	3.02583928385	12.42315527865	8.54244336825	9.64829236435	7.2652310189	9.6660335167	13.22616389085	15.1484041324	7.16315470705	8.1809790585	4.0565648793	8.089740679	8.6430263252	11.22002436825	8.55986016885	6.3258582029	3.2013051801	2.6881381755	4.48741305835	2.1586754803	3.8324858944	1.95127653845	4.7944144947	3.95418480405	3.9093972593	5.6118092993	4.79458380705	3.81985847935	6.80838271195	7.3261033147	4.01693244205	7.07839811525	4.3829403595	4.19747443965
upwards.h'	270250	F	47	hp	260782	260995	153	36.9	h'	upwards	4.79536972405	3.1811703641	12.44774719465	8.4342198015	9.3293804199	7.36038275135	9.617837035	13.2350521469	14.91340750045	6.9943936766	8.09736438605	3.87154201795	7.9560116052	8.66487947435	11.26304858605	8.5097056047	6.1101150043	2.99240541835	2.50231500285	4.35726617885	2.66942504835	4.06610835985	1.97018912875	4.75136126395	4.0215989932	4.34117123215	5.90311687015	4.7765583629	3.88568202105	6.6345642378	7.75460920315	4.1626023332	7.4784294405	4.8623547424	4.0316685628
upwards.h'	270251	M	47	hp	260730	260951	116	40.5	h'	upwards	4.9161494764	2.9480349202	12.6766285767	8.52981833175	9.2961543175	7.24045899255	9.1890015455	13.22787106065	14.70033954755	7.05771168945	8.11760216655	3.77289374805	7.8782662037	8.2539274254	10.8368180134	8.0398821749	5.81809521675	2.84163394255	2.200568302	4.37579701145	2.52106414635	3.89054003895	1.9674459686	4.4877906162	4.19794361955	4.15800376245	5.68783719095	4.52865526195	3.76475674275	6.8366420013	7.498522962	3.74704915245	7.12841760225	4.5525429555	4.11920874045
upwards.h'	270252	F	47	hp	260786	261005	153	37.5	h'	upwards	4.80119519025	3.0010965724	12.29837657205	8.19219795675	8.86617921175	6.99944647935	9.464431857	12.90398361345	14.3275763108	6.5722950064	8.1155208837	3.9723098138	7.88656224995	8.53388258075	11.09363394255	8.2027977645	6.08995391225	3.2471047368	2.28856195235	4.4398947495	2.5699161992	3.9251113371	1.81155738605	4.55070194145	3.97247006605	4.23931325115	5.68826898965	4.76710669605	3.67913027915	6.9454888191	7.03523131695	4.47000477585	7.19478646875	4.483186067	4.049683801
upwards.h'	270253	M	47	hp	260730	260951	168	41.1	h'	upwards	4.91614036635	2.99413243785	12.67982374365	8.3672034363	9.4393214781	7.19040524465	9.49238203005	13.2724035861	15.05499883245	7.3291056911	8.10002439005	3.99061354255	8.08087047145	8.83595907985	11.3053110032	8.66777461245	6.34006894155	3.05245415845	2.4415967794	4.6248695846	2.60437312395	4.12587863685	1.89846426715	4.5946744298	4.0592679722	4.05907358745	5.68833937605	4.68324999815	3.8295026226	6.75898344905	6.97459891645	4.3774575046	7.26660456355	4.54332538945	3.9012416318
upwards.h'	270255	M	47	hp	260730	260951	111	38.6	h'	upwards	4.8799039265	3.02116866635	12.4664618751	8.44491626555	9.43936893435	7.26803021035	9.62281021175	13.2579023789	14.97533918135	7.1878254793	8.12742451765	3.8286705528	7.96897111755	8.6941381387	11.2276326867	8.56445126605	6.34799604075	2.95094353545	2.41250344985	4.66964233785	2.4174325776	4.2251885025	1.85692522675	5.05508793145	4.1326016391	4.0354133869	5.6338250107	5.04892644025	4.1963097835	6.6281823849	7.11288658595	4.2731681052	7.35623123825	4.7688396226	3.7551317714
upwards.h'	270256	F	47	hp	260786	261005	153	36.7	h'	upwards	5.09653906785	2.93230373615	12.5614704916	8.5261708904	9.4042642028	7.16448412055	9.42023274765	13.3768427822	15.05039681095	7.1518215995	8.3104629461	3.96526135105	7.97730741445	8.60327331225	11.1108600376	8.4033801949	6.2293408622	3.12062034595	2.5370420614	4.6887269688	2.5276972557	4.02503303335	1.6930508617	4.7748138397	3.8647654564	3.9815410424	5.5826162881	4.6219209587	3.9872949301	6.67690481225	7.32138622915	4.54534349115	7.409027026	4.7230698471	4.34597772985
upwards.h'	270257	M	47	hp	260730	260951	111	40.1	h'	upwards	4.5820646087	2.96950639925	12.30876040905	8.4378509924	9.38463431345	7.25676604895	9.1538136887	13.04369607095	14.74358015585	7.18999978485	8.22911104185	3.7704342123	8.03401639565	8.6787993189	11.25313441365	8.4401918942	6.2267855775	3.1300405852	2.44343967145	4.32744171995	2.39452450735	3.9343536618	1.8829141076	4.53943430385	4.06174644405	3.9655316106	5.65326709165	4.54077435925	3.83195542505	6.7751206023	7.1707250141	3.9221143023	7.32964341715	4.48997706465	4.3564148945
upwards.h'	270258	F	47	hp	260786	261005	111	35.8	h'	upwards	4.9359151553	3.00015305795	12.38316129645	8.2343038253	9.1152367913	7.15918086375	9.0705764647	13.11446518795	14.7967400515	7.28922428015	8.4695051405	3.9054638593	8.13728705865	8.56295080075	11.08512083005	8.26813271135	5.9350711021	3.01415739535	2.52921468655	4.28892152945	2.7088087058	3.83762380905	1.9622684536	4.5455479597	3.9416556568	4.2920129805	5.7098676601	4.71655764395	3.7663366736	6.7905478999	7.5676573655	3.94125159945	7.14394622425	4.80397542215	4.3514020914
upwards.h'	270259	M	47	hp	260730	260951	168	41.6	h'	upwards	4.7544266642	3.0973432372	12.37968547855	8.2916254684	9.14557230075	7.34386575755	9.5821502592	12.80313098705	14.5707193603	6.36730014085	8.4444929214	3.84850988685	8.47832980455	8.8517997892	11.28572955085	8.2669594729	6.25189629205	3.26822747625	2.708570547	4.3770016957	2.46219396665	3.8648237144	1.8802598346	4.70808283355	4.16374430155	4.2067564229	5.87035398375	4.5346880863	3.65818717775	7.05642600925	7.0282347853	4.09499184095	7.05984520685	4.26978794825	4.0253993411
upwards.h'	270260	F	47	hp	260786	261005	111	36	h'	upwards	4.60842652875	2.92749269015	12.2889944028	8.45491819315	9.64809385665	7.4045496566	9.56783364335	12.95847121115	14.890649887	6.88523114405	8.21261218085	3.61680150405	7.94648359095	8.147198344	10.62366596465	8.10434068485	5.64138789065	2.5782276747	2.5908941207	4.53196017625	2.4588790803	3.84155691535	1.8549265647	4.6207815451	3.7835407168	4.1362110993	5.67085970865	4.4671075037	3.85619546205	6.67327791925	7.4576769617	4.2948123234	6.3110989463	5.1806936162	4.24677129635
